Player,year_start,year_end
Courtney Fortson,2012,2012
Danny Fortson,1998,2007
Greg Foster,1991,2003
Jeff Foster,2000,2012
Antonis Fotsis,2002,2002
Evan Fournier,2013,2018
Tremaine Fowlkes,2002,2005
De'Aaron Fox,2018,2018
Rick Fox,1992,2004
Randy Foye,2007,2017
Adonal Foyle,1998,2009
Richie Frahm,2004,2008
Steve Francis,2000,2008
Jamaal Franklin,2014,2015
Tim Frazier,2015,2018
Jimmer Fredette,2012,2016
Joel Freeland,2013,2015
Matt Freije,2005,2007
Channing Frye,2006,2018
Hiram Fuller,2004,2004
Todd Fuller,1997,2001
Markelle Fultz,2018,2018
Lawrence Funderburke,1998,2005
Dan Gadzuric,2003,2012
Deng Gai,2006,2006
Reece Gaines,2004,2006
Sundiata Gaines,2010,2012
Chad Gallagher,1994,1994
Danilo Gallinari,2009,2018
Langston Galloway,2015,2018
Jorge Garbajosa,2007,2008
Ruben Garces,2001,2001
Alex Garcia,2004,2005
Francisco Garcia,2006,2015
Thomas Gardner,2008,2009
Patricio Garino,2017,2017
Chris Garner,1998,2001
Kevin Garnett,1996,2016
Marlon Garnett,1999,1999
Dean Garrett,1997,2002
Diante Garrett,2013,2014
Kiwane Garris,1998,2000
Pat Garrity,1999,2008
Marc Gasol,2009,2018
Pau Gasol,2002,2018
Chris Gatling,1992,2002
Rudy Gay,2007,2018
Andrew Gaze,1994,1999
Michael Gbinije,2017,2017
Reggie Geary,1997,1998
Alonzo Gee,2010,2017
Matt Geiger,1993,2002
Mickael Gelabale,2007,2013
Devean George,2000,2010
Paul George,2011,2018
Tate George,1991,1995
Marcus Georges-Hunt,2017,2018
Daniel Gibson,2007,2013
Jonathan Gibson,2017,2017
Taj Gibson,2010,2018
J.R. Giddens,2009,2010
Trey Gilder,2010,2010
Eddie Gill,2001,2009
Kendall Gill,1991,2005
Manu Ginobili,2003,2018
Gordan Giricek,2003,2008
Mickell Gladness,2012,2012
Gerald Glass,1991,1996
Dion Glover,2000,2005
Andreas Glyniadakis,2007,2007
Rudy Gobert,2014,2018
Dan Godfread,1991,1992
Anthony Goldwire,1996,2006
Ryan Gomes,2006,2014
Drew Gooden,2003,2016
Steve Goodrich,2001,2002
Archie Goodwin,2014,2017
Aaron Gordon,2015,2018
Ben Gordon,2005,2015
Drew Gordon,2015,2015
Eric Gordon,2009,2018
Marcin Gortat,2008,2018
Andrew Goudelock,2012,2016
Ricky Grace,1994,1994
Greg Graham,1994,1998
Joey Graham,2006,2011
Paul Graham,1992,1994
Stephen Graham,2006,2011
Treveon Graham,2017,2018
Jim Grandholm,1991,1991
Danny Granger,2006,2015
Brian Grant,1995,2006
Jerami Grant,2015,2018
Jerian Grant,2016,2018
Josh Grant,1994,1994
Paul Grant,1999,2004
Aaron Gray,2008,2014
Devin Gray,1997,2000
Ed Gray,1998,1999
Evric Gray,1997,1997
Danny Green,2010,2018
Devin Green,2006,2006
Draymond Green,2013,2018
Erick Green,2015,2016
Gerald Green,2006,2017
JaMychal Green,2015,2018
Jeff Green,2008,2018
Litterial Green,1993,1999
Sean Green,1992,1994
Taurean Green,2008,2008
Willie Green,2004,2015
Donte Greene,2009,2012
Orien Greene,2006,2011
Lynn Greer,2007,2007
Adrian Griffin,2000,2008
Blake Griffin,2011,2018
Eddie Griffin,2002,2007
Taylor Griffin,2010,2010
Derek Grimm,1998,1998
Anthony Grundy,2006,2006
Tom Gugliotta,1993,2005
Andres Guibert,1994,1995
Jay Guidinger,1993,1994
Jorge Gutierrez,2014,2016
A.J. Guyton,2001,2003
Hamed Haddadi,2009,2013
Malik Hairston,2009,2010
P.J. Hairston,2015,2016
Marcus Haislip,2003,2010
Mike Hall,2007,2007
Darvin Ham,1997,2005
Steve Hamer,1997,1997
Daniel Hamilton,2018,2018
Jordan Hamilton,2012,2016
Justin Hamilton,2014,2017
Richard Hamilton,2000,2013
Tang Hamilton,2002,2002
Thomas Hamilton,1996,2000
Zendon Hamilton,2001,2006
Geert Hammink,1994,1996
A.J. Hammons,2017,2017
Darrin Hancock,1995,1997
Ben Handlogten,2004,2005
Ben Hansbrough,2013,2013
Tyler Hansbrough,2010,2016
Travis Hansen,2004,2004
Reggie Hanson,1998,1998
Luke Harangody,2011,2012
Anfernee Hardaway,1994,2008
Tim Hardaway,2014,2018
James Harden,2010,2018
Maurice Harkless,2013,2018
Jerome Harmon,1995,1995
Justin Harper,2012,2017
Matt Harpring,1999,2009
Montrezl Harrell,2016,2018
Josh Harrellson,2012,2014
Adam Harrington,2003,2003
Al Harrington,1999,2014
Junior Harrington,2003,2007
Othella Harrington,1997,2008
Devin Harris,2005,2018
Elias Harris,2014,2014
Gary Harris,2015,2018
Joe Harris,2015,2018
Lucious Harris,1994,2005
Manny Harris,2011,2017
Mike Harris,2008,2014
Terrel Harris,2012,2013
Tobias Harris,2012,2018
Tony Harris,1991,1995
Aaron Harrison,2016,2017
Andrew Harrison,2017,2018
David Harrison,2005,2008
Jason Hart,2001,2010
Josh Hart,2018,2018
Antonio Harvey,1994,2003
Donnell Harvey,2001,2005
Scott Haskin,1994,1994
Udonis Haslem,2004,2018
Trenton Hassell,2002,2010
Kirk Haston,2002,2003
Spencer Hawes,2008,2017
Juaquin Hawkins,2003,2003
Michael Hawkins,1997,2001
Chuck Hayes,2006,2016
Jarvis Hayes,2004,2010
Gordon Hayward,2011,2018
Lazar Hayward,2011,2013
Brendan Haywood,2002,2015
Luther Head,2006,2011
Shane Heal,1997,2004
Alvin Heggs,1996,1996
Alan Henderson,1996,2007
Cedric Henderson,1998,2002
Gerald Henderson,2010,2017
J.R. Henderson,1999,1999
Mark Hendrickson,1997,2000
Skeeter Henry,1994,1994
Xavier Henry,2011,2015
John Henson,2013,2018
Steve Henson,1991,1999
Juan Hernangomez,2017,2018
Willy Hernangomez,2017,2018
Chris Herren,2000,2001
Carl Herrera,1992,1999
Walter Herrmann,2007,2009
Mario Hezonja,2016,2018
Roy Hibbert,2009,2017
J.J. Hickson,2009,2016
Buddy Hield,2017,2018
Cory Higgins,2012,2013
Sean Higgins,1991,1998
Nene Hilario,2003,2018
George Hill,2009,2018
Grant Hill,1995,2013
Jordan Hill,2010,2017
Solomon Hill,2014,2017
Steven Hill,2009,2009
Tyrone Hill,1991,2004
Darrun Hilliard,2016,2018
Kirk Hinrich,2004,2016
Robert Hite,2007,2007
Darington Hobson,2012,2012
Donald Hodge,1992,1996
Julius Hodge,2006,2007
Fred Hoiberg,1996,2005
Randy Holcomb,2006,2006
Jrue Holiday,2010,2018
Justin Holiday,2013,2018
John Holland,2018,2018
Ryan Hollins,2007,2016
Rondae Hollis-Jefferson,2016,2018
Richaun Holmes,2016,2018
Jerald Honeycutt,1998,1999
Tyler Honeycutt,2012,2013
Derek Hood,2000,2000
Rodney Hood,2015,2018
Scotty Hopson,2014,2014
Al Horford,2008,2018
Dennis Horner,2012,2012
Robert Horry,1993,2008
Danuel House,2017,2018
Eddie House,2001,2011
Allan Houston,1994,2005
Byron Houston,1993,1996
Tom Hovasse,1995,1995
Brian Howard,1992,1993
Dwight Howard,2005,2018
Josh Howard,2004,2013
Juwan Howard,1995,2013
Stephen Howard,1993,1998
Lester Hudson,2010,2015
Troy Hudson,1998,2008
Marcelo Huertas,2016,2017
Josh Huestis,2016,2018
Nate Huffman,2003,2003
Larry Hughes,1999,2012
Rick Hughes,2000,2000
Robbie Hummel,2014,2015
Ryan Humphrey,2003,2005
Kris Humphries,2005,2017
Brandon Hunter,2004,2005
Cedric Hunter,1992,1992
Chris Hunter,2010,2010
Lindsey Hunter,1994,2010
Othello Hunter,2009,2010
R.J. Hunter,2016,2017
Steven Hunter,2002,2010
Vince Hunter,2018,2018
Bobby Hurley,1994,1998
Serge Ibaka,2010,2018
Andre Iguodala,2005,2018
Zydrunas Ilgauskas,1998,2011
Mile Ilic,2007,2007
Didier Ilunga-Mbenga,2005,2011
Ersan Ilyasova,2007,2018
Joe Ingles,2015,2018
Damien Inglis,2016,2016
Brandon Ingram,2017,2018
Kyrie Irving,2012,2018
Jonathan Isaac,2018,2018
Mike Iuzzolino,1992,1993
Allen Iverson,1997,2010
Royal Ivey,2005,2014
Wesley Iwundu,2018,2018
Jarrett Jack,2006,2018
Bobby Jackson,1998,2009
Cedric Jackson,2010,2010
Darnell Jackson,2009,2011
Demetrius Jackson,2017,2018
Jermaine Jackson,2000,2006
Jim Jackson,1993,2006
Josh Jackson,2018,2018
Justin Jackson,2018,2018
Luke Jackson,2005,2008
Marc Jackson,2001,2007
Pierre Jackson,2017,2017
Randell Jackson,1999,2000
Reggie Jackson,2012,2018
Stanley Jackson,1994,1994
Stephen Jackson,2001,2014
Casey Jacobsen,2003,2008
Sam Jacobson,1999,2001
Dave Jamerson,1991,1994
Bernard James,2013,2015
Damion James,2011,2014
Henry James,1991,1998
Jerome James,1999,2009
LeBron James,2004,2018
Mike James,2002,2014
Mike James,2018,2018
Tim James,2000,2002
Antawn Jamison,1999,2014
Harold Jamison,2000,2002
Marko Jaric,2003,2009
Sarunas Jasikevicius,2006,2007
Nathan Jawai,2009,2010
Chris Jefferies,2003,2004
Othyus Jeffers,2010,2014
Al Jefferson,2005,2018
Cory Jefferson,2015,2016
Dontell Jefferson,2009,2009
Richard Jefferson,2002,2018
Jared Jeffries,2003,2013
Charles Jenkins,2012,2013
Horace Jenkins,2005,2005
John Jenkins,2013,2017
Brandon Jennings,2010,2017
Keith Jennings,1993,1995
Chris Jent,1994,1997
Les Jepsen,1991,1992
Jonas Jerebko,2010,2018
Grant Jerrett,2015,2015
Eugene Jeter,2011,2011
Yi Jianlian,2008,2012
Britton Johnsen,2004,2005
Alexander Johnson,2007,2008
Amir Johnson,2006,2018
Anthony Johnson,1998,2010
Armon Johnson,2011,2012
Brice Johnson,2017,2018
Carldell Johnson,2012,2012
Chris Johnson,2011,2013
Chris Johnson,2013,2016
Dakari Johnson,2018,2018
Darryl Johnson,1996,1996
Dave Johnson,1993,1994
DeMarco Johnson,2000,2000
DerMarr Johnson,2001,2008
Ervin Johnson,1994,2006
Ivan Johnson,2012,2013
JaJuan Johnson,2012,2012
James Johnson,2010,2018
Joe Johnson,2002,2018
Ken Johnson,2003,2003
Larry Johnson,1992,2001
Linton Johnson,2004,2009
Nick Johnson,2015,2015
Orlando Johnson,2013,2016
Stanley Johnson,2016,2018
Trey Johnson,2009,2012
Tyler Johnson,2015,2018
Wesley Johnson,2011,2018
Darius Johnson-Odom,2013,2014
Nikola Jokic,2016,2018
Alvin Jones,2002,2002
Askia Jones,1995,1995
Bobby Jones,2007,2008
Charles Jones,1999,2000
Dahntay Jones,2004,2017
Damian Jones,2017,2018
Damon Jones,1999,2009
DeQuan Jones,2013,2013
Derrick Jones,2017,2018
Dominique Jones,2011,2013
Dontae' Jones,1998,1998
Dwayne Jones,2006,2010
Eddie Jones,1995,2008
Fred Jones,2003,2009
