,Player,year_start,year_end
1693,Awvee Storey,2005,2008
1694,Damon Stoudamire,1996,2008
1695,Salim Stoudamire,2006,2008
1696,Amar'e Stoudemire,2003,2016
1697,D.J. Strawberry,2008,2008
1698,Erick Strickland,1997,2005
1699,Mark Strickland,1995,2003
1700,Derek Strong,1992,2001
1701,Lamont Strothers,1992,1993
1702,Rodney Stuckey,2008,2017
1703,Jared Sullinger,2013,2017
1704,DaJuan Summers,2010,2013
1705,Bruno Sundov,1999,2005
1706,Bob Sura,1996,2005
1707,Greg Sutton,1992,1996
1708,Caleb Swanigan,2018,2018
1709,Mike Sweetney,2004,2007
1710,Robert Swift,2005,2009
1711,Stromile Swift,2001,2009
1712,Aaron Swinson,1995,1995
1713,Pape Sy,2011,2011
1714,Larry Sykes,1996,1996
1715,Brett Szabo,1997,1997
1716,Wally Szczerbiak,2000,2009
1717,Zan Tabak,1995,2001
1718,Yuta Tabuse,2005,2005
1719,Chris Taft,2006,2006
1720,Dragan Tarlac,2001,2001
1721,Jayson Tatum,2018,2018
1722,Edy Tavares,2016,2017
1723,Donell Taylor,2006,2007
1724,Isaiah Taylor,2017,2018
1725,Jeffery Taylor,2013,2015
1726,Jermaine Taylor,2010,2011
1727,Johnny Taylor,1998,2000
1728,Maurice Taylor,1998,2007
1729,Mike Taylor,2009,2009
1730,Tyshawn Taylor,2013,2014
1731,Jeff Teague,2010,2018
1732,Marquis Teague,2013,2014
1733,Mirza Teletovic,2013,2018
1734,Sebastian Telfair,2005,2015
1735,Garrett Temple,2010,2018
1736,Milos Teodosic,2018,2018
1737,Jason Terry,2000,2018
1738,Hasheem Thabeet,2010,2014
1739,Daniel Theis,2018,2018
1740,Adonis Thomas,2014,2014
1741,Billy Thomas,2005,2008
1742,Carl Thomas,1992,1998
1743,Charles Thomas,1992,1992
1744,Etan Thomas,2002,2011
1745,Irving Thomas,1991,1991
1746,Isaiah Thomas,2012,2017
1747,Jamel Thomas,2000,2001
1748,James Thomas,2005,2006
1749,John Thomas,1998,2006
1750,Kenny Thomas,2000,2010
1751,Kurt Thomas,1996,2013
1752,Lance Thomas,2012,2018
1753,Malcolm Thomas,2012,2015
1754,Tim Thomas,1998,2010
1755,Tyrus Thomas,2007,2015
1756,Trey Thompkins,2012,2012
1757,Brooks Thompson,1995,1998
1758,Dijon Thompson,2006,2007
1759,Hollis Thompson,2014,2017
1760,Jason Thompson,2009,2016
1761,Kevin Thompson,1994,1994
1762,Klay Thompson,2012,2018
1763,Mychel Thompson,2012,2012
1764,Stephen Thompson,1992,1992
1765,Tristan Thompson,2012,2018
1766,Al Thornton,2008,2011
1767,Marcus Thornton,2010,2017
1768,Sindarius Thornwell,2018,2018
1769,Jamaal Tinsley,2002,2014
1770,Mike Tobey,2017,2017
1771,Anthony Tolliver,2009,2018
1772,Andy Toolson,1991,1996
1773,Oscar Torres,2002,2003
1774,Axel Toupane,2016,2017
1775,Keith Tower,1994,1997
1776,Karl-Anthony Towns,2016,2018
1777,Robert Traylor,1999,2005
1778,Gary Trent,1996,2004
1779,Jeff Trepagnier,2002,2004
1780,Cezary Trybanski,2003,2004
1781,Jake Tsakalidis,2001,2007
1782,Nikoloz Tskitishvili,2003,2006
1783,Alando Tucker,2008,2010
1784,Anthony Tucker,1995,1995
1785,P.J. Tucker,2007,2018
1786,Ronny Turiaf,2006,2015
1787,Mirsad Turkcan,2000,2000
1788,Hedo Turkoglu,2001,2015
1789,Evan Turner,2011,2018
1790,John Turner,1992,1992
1791,Myles Turner,2016,2018
1792,Wayne Turner,2000,2000
1793,B.J. Tyler,1995,1995
1794,Jeremy Tyler,2012,2014
1795,Edwin Ubiles,2012,2012
1796,Ekpe Udoh,2011,2018
1797,Ime Udoka,2004,2011
1798,Beno Udrih,2005,2017
1799,Roko Ukic,2009,2010
1800,Tyler Ulis,2017,2018
1801,Jarrod Uthoff,2017,2017
1802,Ben Uzoh,2011,2012
1803,Jonas Valanciunas,2013,2018
1804,Denzel Valentine,2017,2018
1805,Nick Van Exel,1994,2006
1806,Keith Van Horn,1998,2006
1807,Logan Vander Velden,1996,1996
1808,David Vanterpool,2001,2001
1809,Fred VanVleet,2017,2018
1810,Ratko Varda,2002,2002
1811,Anderson Varejao,2005,2017
1812,Jarvis Varnado,2013,2014
1813,Greivis Vasquez,2011,2017
1814,David Vaughn,1996,1999
1815,Jacque Vaughn,1998,2009
1816,Rashad Vaughn,2016,2018
1817,Loy Vaught,1991,2001
1818,Jan Vesely,2012,2014
1819,Gundars Vetra,1993,1993
1820,Joao Vianna,1992,1992
1821,Charlie Villanueva,2006,2016
1822,Marcus Vinicius,2007,2008
1823,Fred Vinson,1995,2000
1824,Noah Vonleh,2015,2018
1825,Jake Voskuhl,2001,2009
1826,Slavko Vranes,2004,2004
1827,Stojko Vrankovic,1991,1999
1828,Jackson Vroman,2005,2006
1829,Nikola Vucevic,2012,2018
