Player,Year,Team, Salary 
Earl Boykins,2001,Los Angeles Clippers,"  498,500 "
Zendon Hamilton,2001,Los Angeles Clippers,"  316,969 "
Shaquille O'Neal,2001,Los Angeles Lakers,"  19,285,715 "
Kobe Bryant,2001,Los Angeles Lakers,"  10,130,000 "
Horace Grant,2001,Los Angeles Lakers,"  6,500,000 "
Robert Horry,2001,Los Angeles Lakers,"  4,800,000 "
Rick Fox,2001,Los Angeles Lakers,"  3,400,000 "
Keyon Dooling,2001,Los Angeles Clippers,"  1,538,880 "
Dana Barros,2001,Detroit Pistons,"  3,700,000 "
Elton Brand,2001,Chicago Bulls,"  3,629,160 "
Jerry Stackhouse,2001,Detroit Pistons,"  5,310,000 "
Mark Blount,2001,Boston Celtics,"  316,969 "
Milt Palacio,2001,Boston Celtics,"  316,969 "
Elden Campbell,2001,Charlotte Hornets,"  8,050,000 "
Derrick Coleman,2001,Charlotte Hornets,"  8,000,000 "
Jamal Mashburn,2001,Charlotte Hornets,"  6,200,000 "
P.J. Brown,2001,Charlotte Hornets,"  5,740,000 "
Bobby Phills,2001,Charlotte Hornets,"  4,640,000 "
Baron Davis,2001,Charlotte Hornets,"  2,916,000 "
David Wesley,2001,Charlotte Hornets,"  2,880,000 "
Otis Thorpe,2001,Charlotte Hornets,"  2,200,000 "
Eldridge Recasner,2001,Charlotte Hornets,"  1,200,000 "
Hersey Hawkins,2001,Charlotte Hornets,"  1,200,000 "
Jamaal Magloire,2001,Charlotte Hornets,"  975,000 "
Tim James,2001,Charlotte Hornets,"  783,120 "
Eddie Robinson,2001,Charlotte Hornets,"  600,000 "
Rodney Buford,2001,Charlotte Hornets,"  423,500 "
Lee Nailon,2001,Charlotte Hornets,"  316,969 "
Terrance Roberson,2001,Charlotte Hornets,"  316,969 "
Ron Mercer,2001,Chicago Bulls,"  5,520,000 "
Brad Miller,2001,Chicago Bulls,"  4,000,000 "
Hersey Hawkins,2001,Chicago Bulls,"  3,560,000 "
Marcus Fizer,2001,Chicago Bulls,"  2,562,000 "
Dragan Tarlac,2001,Chicago Bulls,"  2,500,000 "
